iteration,estimator,scoring,loss,mean_score,std_score,min_score,max_score,train_time,status,params
1,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.049636900001132744,ok,"{'C': 0.04965359942649162, 'penalty': 'l2'}"
2,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.025475700000242796,ok,"{'C': 0.002527333025888496, 'penalty': 'l2'}"
3,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018352500001128647,ok,"{'C': 0.026034037704411924, 'penalty': 'l2'}"
4,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.019903700000213576,ok,"{'C': 0.003138781411581057, 'penalty': 'l2'}"
5,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01811930000076245,ok,"{'C': 0.005685415260295566, 'penalty': 'l2'}"
6,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01938719999998284,ok,"{'C': 0.0022915918655328224, 'penalty': 'l2'}"
7,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018062299999655806,ok,"{'C': 0.17816492331101527, 'penalty': 'l2'}"
8,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017245600000023842,ok,"{'C': 0.021066840499790605, 'penalty': 'l2'}"
9,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.02017100000011851,ok,"{'C': 0.00484028962006201, 'penalty': 'l2'}"
10,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018359900001087226,ok,"{'C': 0.02524898331391662, 'penalty': 'l2'}"
11,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017724299999827053,ok,"{'C': 0.02873804166036919, 'penalty': 'l2'}"
12,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017660200001046178,ok,"{'C': 0.16579971180436073, 'penalty': 'l2'}"
13,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017595199999050237,ok,"{'C': 0.008132625098458413, 'penalty': 'l2'}"
14,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.020366099999591825,ok,"{'C': 0.002996144868773365, 'penalty': 'l2'}"
