iteration,estimator,scoring,loss,mean_score,std_score,min_score,max_score,train_time,status,params
1,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.055104900000515045,ok,"{'C': 0.07434731598630924, 'penalty': 'l2'}"
2,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.02652990000024147,ok,"{'C': 0.024642732095312755, 'penalty': 'l2'}"
3,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.019102600001133396,ok,"{'C': 0.006768193688121208, 'penalty': 'l2'}"
4,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.02257889999964391,ok,"{'C': 0.01265694707794711, 'penalty': 'l2'}"
5,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01842660000147589,ok,"{'C': 0.0029659922975082253, 'penalty': 'l2'}"
6,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01805659999990894,ok,"{'C': 0.08318017855813113, 'penalty': 'l2'}"
7,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.021186800000577932,ok,"{'C': 0.16605375536975978, 'penalty': 'l2'}"
8,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018142499999157735,ok,"{'C': 0.06360796153269066, 'penalty': 'l2'}"
9,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01952799999889976,ok,"{'C': 0.11349059227412615, 'penalty': 'l2'}"
10,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01838789999965229,ok,"{'C': 0.0014893355697805344, 'penalty': 'l2'}"
11,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.019061499999224907,ok,"{'C': 0.02334126531282566, 'penalty': 'l2'}"
12,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01768600000104925,ok,"{'C': 0.018639081644843857, 'penalty': 'l2'}"
13,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01787040000090201,ok,"{'C': 0.002338603190948122, 'penalty': 'l2'}"
14,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.021244100000330945,ok,"{'C': 0.02766073411098805, 'penalty': 'l2'}"
15,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017937300000994583,ok,"{'C': 0.0017018793575501873, 'penalty': 'l2'}"
16,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017944500001249253,ok,"{'C': 0.001704104609890641, 'penalty': 'l2'}"
17,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01813620000029914,ok,"{'C': 0.010765461199829173, 'penalty': 'l2'}"
18,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017460500001106993,ok,"{'C': 0.005141249441947136, 'penalty': 'l2'}"
19,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.020170499999949243,ok,"{'C': 0.0012827313704413831, 'penalty': 'l2'}"
20,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01770109999961278,ok,"{'C': 0.008942916475172135, 'penalty': 'l2'}"
21,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017380299999786075,ok,"{'C': 0.0021604534543214642, 'penalty': 'l2'}"
22,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017555100001118262,ok,"{'C': 0.023941642677562346, 'penalty': 'l2'}"
23,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017795800000385498,ok,"{'C': 0.03977059462322834, 'penalty': 'l2'}"
24,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.0207036000010703,ok,"{'C': 0.0012924508609760774, 'penalty': 'l2'}"
25,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.019361300001037307,ok,"{'C': 0.023367403014243594, 'penalty': 'l2'}"
26,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018237599999338272,ok,"{'C': 0.07781121957187762, 'penalty': 'l2'}"
27,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.020071400000233552,ok,"{'C': 0.06138949212261989, 'penalty': 'l2'}"
28,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018889599999965867,ok,"{'C': 0.12882159777436883, 'penalty': 'l2'}"
