iteration,estimator,scoring,loss,mean_score,std_score,min_score,max_score,train_time,status,params
39,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018587200000183657,ok,"{'C': 0.04648159700260303, 'penalty': 'l1', 'solver': 'saga'}"
40,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.02238029999898572,ok,"{'C': 0.061727214839148094, 'penalty': 'l2', 'solver': 'lbfgs'}"
41,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.02147320000040054,ok,"{'C': 0.04530876754574952, 'penalty': 'l2', 'solver': 'newton-cg'}"
42,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01822100000026694,ok,"{'C': 0.0514028655901057, 'penalty': 'l2', 'solver': 'saga'}"
43,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018681499999729567,ok,"{'C': 0.00590202590548422, 'penalty': 'l2', 'solver': 'lbfgs'}"
44,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.017090400000597583,ok,"{'C': 0.03231361338456607, 'penalty': 'l1', 'solver': 'sag'}"
45,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.02101779999975406,ok,"{'C': 0.002122187593103794, 'penalty': 'l1', 'solver': 'liblinear'}"
46,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.019672100001116632,ok,"{'C': 0.0035344562050199997, 'penalty': 'l1', 'solver': 'saga'}"
47,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01868319999994128,ok,"{'C': 0.081756917118184, 'penalty': 'l2', 'solver': 'lbfgs'}"
48,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01743030000034196,ok,"{'C': 0.01774393102178775, 'penalty': 'l1', 'solver': 'newton-cg'}"
49,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018764399999781745,ok,"{'C': 0.14965861093357619, 'penalty': 'l2', 'solver': 'newton-cg'}"
50,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018328900001506554,ok,"{'C': 0.001693651159460259, 'penalty': 'l2', 'solver': 'newton-cg'}"
51,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.019182500000169966,ok,"{'C': 0.005638288715779749, 'penalty': 'l1', 'solver': 'lbfgs'}"
52,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01715879999937897,ok,"{'C': 0.0038531662357083932, 'penalty': 'l1', 'solver': 'lbfgs'}"
53,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018420000000332948,ok,"{'C': 0.0015529424981318791, 'penalty': 'l2', 'solver': 'newton-cg'}"
54,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.02111270000023069,ok,"{'C': 0.005666230527564026, 'penalty': 'l1', 'solver': 'saga'}"
55,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01828639999985171,ok,"{'C': 0.006249089746871122, 'penalty': 'l2', 'solver': 'liblinear'}"
56,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.02043000000048778,ok,"{'C': 0.005335940243001914, 'penalty': 'l1', 'solver': 'liblinear'}"
57,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.019041899999137968,ok,"{'C': 0.09474964084445957, 'penalty': 'l2', 'solver': 'liblinear'}"
58,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.01783419999992475,ok,"{'C': 0.0015170154735412247, 'penalty': 'l1', 'solver': 'saga'}"
59,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.016400900000007823,ok,"{'C': 0.003823646285464201, 'penalty': 'l1', 'solver': 'lbfgs'}"
60,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.02003599999989092,ok,"{'C': 0.0042520236284893445, 'penalty': 'l1', 'solver': 'liblinear'}"
61,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.0206066999999166,ok,"{'C': 0.001297620240879246, 'penalty': 'l2', 'solver': 'newton-cg'}"
62,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.0168444000009913,ok,"{'C': 0.18341712428488663, 'penalty': 'l1', 'solver': 'newton-cg'}"
63,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018759399999908055,ok,"{'C': 0.014025530879805164, 'penalty': 'l1', 'solver': 'liblinear'}"
64,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018771600000036415,ok,"{'C': 0.05148615581967756, 'penalty': 'l2', 'solver': 'lbfgs'}"
65,LogisticRegression,accuracy,nan,nan,nan,nan,nan,0.018408199999612407,ok,"{'C': 0.012279357986133601, 'penalty': 'l1', 'solver': 'sag'}"
